Paper #,Device #,DOI,Manufacturer,Manuscripted submitted year,Country,Efficiency (%),Voc (V),Voc per cell (V),Isc (mA),Jsc (mA/cm^2),FF (%),Pmax (mW),Vmax (V),Imax (mA),Apeture area (cm^2),Device size type,Sweep direction,Sweep rate (mV/s),Certified year,Transparent conductive oxide type,Electron transport layer type,Perovskite composition,Perovskite chemistry type,extra,extra%,MA,FA,Pb,I,Br,Passive_layer,Perovksite depostion method,Hole transport layer type,Conductive electrode layer,Device structure,exposed_time,retained_per,stability
26,1,10.1038/s41560-018-0219-8,University of Potsdam,2017,Germany,19.415,1.14655,1.14655,22.325,22.03849951,76.855,19.67,0.95835,20.525,1.013,cell ( ~1 cm^2),average,NA,2017,ITO,C60,(FAPbI3)0.89(MAPbBr3)0.11,"(FA,MA)Pb(I,Br)3",NA,0,0.11,0.89,1,2.67,0.33,NA,spin coating,PTAA,Cu,Planar,unknown,unknown,unknown
27,1,10.1038/s41467-018-05454-4,"University of California, Los Angeles",2018,USA,19.77,1.1204,1.1204,2.362,23.47912525,75.2,1.989,0.9255,2.149,0.1006,sub cell (~0.1 cm^2),stablized,NA,2017,ITO,SnO2,FA0.98Cs0.02PbI3/0.0167(PEA2PbI4),"(FA,Cs)PbI3",Cs,0.02,0,0.98,1,0.51,0,(PEA2PbI4),spin coating,Spiro-OMeTAD,Au or Ag,Planar,unknown,unknown,unknown
28,1,10.1038/s41560-018-0200-6,Korean Research Institute of Chemical Technology,2018,South Korea,22.6,1.1268,1.1268,2.3405,24.92545261,80.5,2.122,0.971,2.184,0.0939,sub cell (~0.1 cm^2),reverse,150,2017,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.95(MAPbBr3)0.05,"(FA,MA)Pb(I,Br)3",NA,0,0.05,0.95,1,2.85,0.15,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,500,95,47.5
28,2,10.1038/s41560-018-0200-6,Korean Research Institute of Chemical Technology,2018,South Korea,20.87,1.125,1.125,24.7,24.92431887,74.5,20.68,0.904,22.86,0.991,cell ( ~1 cm^2),reverse,150,2017,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.95(MAPbBr3)0.05,"(FA,MA)Pb(I,Br)3",NA,0,0.05,0.95,1,2.85,0.15,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,500,95,47.5
29,1,10.1039/C8TA01192C,Xi'an Jiaotong University,2018,China,15.56,5.256,1.0512,45.58,21.60189573,69,165.109,4.1795,39.505,10.55,submodule ( >10 cm^2),average,200,2017,FTO,c-TiO2,FA0.3MA0.7PbI3,"(FA,MA)PbI3",NA,0,0.7,0.3,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Planar,528,93,49.104
30,1,10.1021/acsenergylett.8b00293,Fraunhofer Institute for Solar Energy Systems ISE,2018,Germany,11.01,1.0015,1.0015,1.54,17.57990868,62.33,0.96,0.7885,1.22,0.0876,sub cell (~0.1 cm^2),stablized,NA,2017,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,inflitration,No HTL,graphite,Mesoscopic,unknown,unknown,unknown
30,2,10.1021/acsenergylett.8b00293,Fraunhofer Institute for Solar Energy Systems ISE,2018,Germany,14.52,1.0019,1.0019,1.68,19.17808219,75.7,1.27,0.7963,1.6,0.0876,sub cell (~0.1 cm^2),stablized,NA,2017,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,inflitration,No HTL,graphite,Mesoscopic,unknown,unknown,unknown
31,1,10.1038/s41467-018-05760-x,Virginia Polytechnic Institute and State University,2018,USA,21.52,1.1138,1.1138,2.502,24.45747801,79,2.202,0.9499,2.318,0.1023,sub cell (~0.1 cm^2),average,20,2018,ITO,SnO2,FA0.95Cs0.05Pbi3,"(FA,Cs)PbI3",Cs,0.05,0,0.95,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Planar,2880,92,264.96
32,1,10.1021/acsaem.8b00803,Wuhan University of Technology,2018,China,13.82,14,1,43.115,19.03532009,72.635,438.2,12.05,36.37,31.71,submodule ( >10 cm^2),average,NA,2017,ITO,C60,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,thermal evapration/spin coating,Spiro-OMeTAD,Cu,Planar,720,90,64.8
33,1,10.1038/s41586-019-1036-3,Korean Research Institute of Chemical Technology,2018,South Korea,22.67,1.1442,1.1442,2.33,24.9197861,79.6,2.12,0.982,2.158,0.0935,sub cell (~0.1 cm^2),average,150,2017,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.95(MAPbBr3)0.05/n-hexyl trimethylammonium bromide,"(FA,MA)Pb(I,Br)3",NA,0,0.05,0.95,1,2.85,0.15,n-hexyl trimethylammonium bromide,spin coating,polythiophene,Au,Mesoscopic,1370,95,130.15
